                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.3657,                 1.0982,                 1.2245,                0.61845,                0.57643,                0.61457,                0.33445,                 1.6203,                 1.2323,                 1.3126,             0.00053064,             0.00053064,             0.00053064
                     63,                 1.3777,                 1.1274,                 1.2307,                0.72503,                0.67842,                 0.7404,                0.41111,                 1.5066,                 1.1374,                 1.1741,             0.00052909,             0.00052909,             0.00052909
                     64,                 1.3444,                 1.1105,                 1.2331,                0.73765,                0.66634,                0.72229,                0.40297,                 1.4954,                 1.0257,                 1.2174,             0.00052755,             0.00052755,             0.00052755
                     65,                 1.3047,                 1.0778,                 1.1955,                0.77377,                0.67148,                 0.7629,                0.39483,                  1.515,                 1.0315,                 1.2275,               0.000526,               0.000526,               0.000526
                     66,                 1.3315,                 1.0603,                 1.1986,                0.79989,                0.68269,                0.76271,                0.42018,                 1.4601,                 1.0304,                 1.1945,             0.00052445,             0.00052445,             0.00052445
                     67,                 1.3159,                 1.0642,                 1.2137,                0.76674,                0.74463,                0.76383,                0.41238,                 1.5052,                 1.0022,                 1.1796,             0.00052291,             0.00052291,             0.00052291
                     68,                 1.3001,                 1.0625,                 1.1957,                0.73939,                0.70975,                 0.7645,                 0.4158,                 1.4933,                 1.0056,                 1.1944,             0.00052136,             0.00052136,             0.00052136
                     69,                 1.3132,                  1.039,                 1.1948,                0.72027,                0.70869,                0.75815,                0.42096,                 1.4391,                0.95154,                 1.1801,             0.00051981,             0.00051981,             0.00051981
                     70,                  1.314,                 1.0521,                 1.1935,                  0.717,                0.68275,                0.75894,                0.41303,                  1.472,                 1.0119,                 1.1959,             0.00051827,             0.00051827,             0.00051827
                     71,                 1.3057,                 1.0431,                 1.1896,                0.64687,                0.74766,                0.76286,                0.41432,                 1.4532,                0.99421,                 1.2008,             0.00051672,             0.00051672,             0.00051672
